Line Item,Annual Amount,Monthly Average,Notes
Base Rent,408000,34000,Per rent roll
CAM Recoveries,48000,4000,NNN pass-throughs
Percentage Rent,0,0,N/A for industrial
Other Income,12000,1000,Storage/parking
GROSS REVENUE,468000,39000,
,,,
Real Estate Taxes,52000,4333,Assessed @ $3.2M
Insurance,18000,1500,
Utilities,24000,2000,Common area only
Repairs & Maintenance,28000,2333,
Management Fee,23400,1950,5% of EGI
General & Administrative,8000,667,
Legal & Professional,6000,500,
Marketing,4000,333,
TOTAL EXPENSES,163400,13617,
,,,
NET OPERATING INCOME,304600,25383,
