Unit,Tenant Name,Square Feet,Monthly Rent,Lease Start,Lease End
101,ABC Manufacturing LLC,3500,4375,2023-01-01,2026-01-01
102,Tech Solutions Inc,2800,3500,2023-06-01,2026-06-01
103,Global Logistics Co,4200,5250,2022-09-01,2025-09-01
104,VACANT,2500,,,,
105,Smith & Associates,2200,2750,2024-01-01,2027-01-01
106,Metro Distribution,5000,6250,2023-03-01,2028-03-01
107,Precision Parts Inc,3200,4000,2023-08-01,2026-08-01
108,VACANT,2800,,,,
109,Quality Services LLC,2600,3250,2024-02-01,2027-02-01
110,Eastside Enterprises,3800,4750,2023-04-01,2026-04-01
